Team,Season,SponsorName,SponsorIndustry,OriginalSponsorName,CorrectionID,Industry,Key
Mercedes,2019,Marriott Bonvoy,Hospitality,Marriott Bonvoy,,"Travel, Hospitality & Logistics",marriottbonvoy
Mercedes,2019,Monster Energy,Beverages/Food,Monster Energy,,Food & Beverage,monsterenergy
Mercedes,2019,Pure Storage,Technology,Pure Storage,,Technology,purestorage
Mercedes,2019,CrowdStrike,Cybersecurity,CrowdStrike,,Cybersecurity,crowdstrike
Mercedes,2019,Tibco,Technology,Tibco,,Technology,tibco
Mercedes,2019,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Mercedes,2019,Ebmpapst,Industrial,Ebmpapst,,Industrial & Aerospace,ebmpapst
Mercedes,2019,Tata Communications,Telecom,Tata Communications,,Telecom,tatacommunications
Mercedes,2019,Konecranes,Industrial,Konecranes,,Industrial & Aerospace,konecranes
Mercedes,2019,OMP,Automotive,OMP,,Automotive,omp
Mercedes,2019,Axalta,Industrial,Axalta,,Industrial & Aerospace,axalta
Mercedes,2019,Assos,Apparel,Assos,,Apparel & Sportswear,assos
Mercedes,2019,Oz Racing,Automotive,Oz Racing,,Automotive,ozracing
Mercedes,2019,Endless,Automotive,Endless,,Automotive,endless
Mercedes,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Mercedes,2019,Seedlip,Beverages/Food,Seedlip,,Food & Beverage,seedlip
RB/AlphaTauri/Toro Rosso,2019,Red Bull,Beverages/Food,Red Bull,,Food & Beverage,redbull
RB/AlphaTauri/Toro Rosso,2019,Honda,Automotive,Honda,,Automotive,honda
RB/AlphaTauri/Toro Rosso,2019,MyWorld,Other,MyWorld,,Financial Services,myworld
RB/AlphaTauri/Toro Rosso,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
RB/AlphaTauri/Toro Rosso,2019,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
RB/AlphaTauri/Toro Rosso,2019,Randstad,Staffing,Randstad,,Business Services,randstad
RB/AlphaTauri/Toro Rosso,2019,Red Bull Mobile,Telecom,Red Bull Mobile,,Telecom,redbullmobile
RB/AlphaTauri/Toro Rosso,2019,Riedel,Technology,Riedel,,Technology,riedel
RB/AlphaTauri/Toro Rosso,2019,Edifice Casio,Luxury Watches,Edifice Casio,,Technology,edificecasio
Red Bull Racing,2019,Aston Martin,Automotive,Aston Martin,,Automotive,astonmartin
Red Bull Racing,2019,Rauch,Beverages/Food,Rauch,,Food & Beverage,rauch
Red Bull Racing,2019,Honda,Automotive,Honda,,Automotive,honda
Red Bull Racing,2019,Mobil1,Energy/Oil,Mobil1,,Energy,mobil1
Red Bull Racing,2019,Esso,Energy/Oil,Esso,,Energy,esso
Red Bull Racing,2019,Tag Heuer,Luxury Watches,Tag Heuer,,Luxury Watches,tagheuer
Red Bull Racing,2019,Citrix,Technology,Citrix,,Technology,citrix
Red Bull Racing,2019,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
Red Bull Racing,2019,HP,Technology,HP,,Technology,hp
Red Bull Racing,2019,AT&T,Telecom,AT&T,,Telecom,att
Red Bull Racing,2019,IBM,Technology,IBM,,Technology,ibm
Red Bull Racing,2019,W66.com,Gambling/Betting,W66.com,,Other,w66com
Red Bull Racing,2019,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Red Bull Racing,2019,Dita Eyewear,Fashion,Dita Eyewear,,Luxury & Fashion,ditaeyewear
Red Bull Racing,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Sauber/Alfa Romeo,2019,Alfa Romeo,Automotive,Alfa Romeo,,Automotive,alfaromeo
Sauber/Alfa Romeo,2019,Adler,Industrial,Adler,,Industrial & Aerospace,adlerpelzergroup
Sauber/Alfa Romeo,2019,Carrera,Fashion,Carrera,,Consumer Goods & Retail,carrera
Sauber/Alfa Romeo,2019,Claro,Telecom,Claro,,Telecom,claro
Sauber/Alfa Romeo,2019,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
Sauber/Alfa Romeo,2019,Singha,Beverages/Food,Singha,,Food & Beverage,singha
Sauber/Alfa Romeo,2019,EGV,Other,EGV,,Other,egv1
Sauber/Alfa Romeo,2019,Globeair,Aviation,Globeair,,"Travel, Hospitality & Logistics",globeair
Sauber/Alfa Romeo,2019,HP,Technology,HP,,Technology,hp
Sauber/Alfa Romeo,2019,Iveco,Automotive,Iveco,,Automotive,iveco
Sauber/Alfa Romeo,2019,Mitsubishi,Industrial,Mitsubishi,,Industrial & Aerospace,mitsubishielectric
Sauber/Alfa Romeo,2019,New Balance,Apparel,New Balance,,Apparel & Sportswear,newbalance
Sauber/Alfa Romeo,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Sauber/Alfa Romeo,2019,Save the Children,Nonprofit,Save the Children,,Other,savethechildren
Sauber/Alfa Romeo,2019,Sparco,Automotive,Sparco,,Automotive,sparco
Sauber/Alfa Romeo,2019,Walter Meier,Industrial,Walter Meier,,Industrial & Aerospace,waltermeier
Sauber/Alfa Romeo,2019,3D Systems,Technology,3D Systems,,Technology,3dsystems
Sauber/Alfa Romeo,2019,Brutsch-Ruegger,Industrial,Brutsch-Ruegger,,Industrial & Aerospace,brutschruegger
Sauber/Alfa Romeo,2019,Carbon Connect,Industrial,Carbon Connect,,Industrial & Aerospace,carbonconnect
Sauber/Alfa Romeo,2019,Interroll,Industrial,Interroll,,Industrial & Aerospace,interroll
Sauber/Alfa Romeo,2019,Riedel,Technology,Riedel,,Technology,riedel
Sauber/Alfa Romeo,2019,Singapore Airlines,Aviation,Singapore Airlines,,"Travel, Hospitality & Logistics",singaporeairlines
Williams,2019,Rokit,Technology,Rokit,,Technology,rokit
Williams,2019,Rexona,Consumer Goods,Rexona,,Consumer Goods & Retail,rexona
Williams,2019,Orlen,Energy/Oil,Orlen,,Energy,orlen
Williams,2019,Acronis,Technology,Acronis,,Cybersecurity,acronis
Williams,2019,Omnitude,Technology,Omnitude,,Technology,omnitude
Williams,2019,Sofina,Investment,Sofina,,Financial Services,sofina
Williams,2019,Netjets,Aviation,Netjets,,"Travel, Hospitality & Logistics",netjets
Williams,2019,Symantec,Cybersecurity,Symantec,,Cybersecurity,symantec
Williams,2019,Tata Communications,Telecom,Tata Communications,,Telecom,tatacommunications
Williams,2019,Thales,Technology,Thales,,Industrial & Aerospace,thales
Williams,2019,Dtex,Cybersecurity,Dtex,,Cybersecurity,dtex
Williams,2019,Michael Caines,Hospitality,Michael Caines,,"Travel, Hospitality & Logistics",michaelcaines
Williams,2019,Geospatial Insight,Technology,Geospatial Insight,,Technology,geospatialinsight
Williams,2019,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Williams,2019,Cybex,Consumer Goods,Cybex,,Consumer Goods & Retail,cybex
Williams,2019,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Alpine/Renault,2020,DP World,Logistics,DP World,,"Travel, Hospitality & Logistics",dpworld
Alpine/Renault,2020,Castrol,Energy/Oil,Castrol,,Energy,castrol
Alpine/Renault,2020,Infiniti,Automotive,Infiniti,,Automotive,infiniti
Alpine/Renault,2020,RCi,Finance,RCi,,Financial Services,rci
Alpine/Renault,2020,MAPFRE,Insurance,MAPFRE,,Financial Services,mapfre
Alpine/Renault,2020,BP Ultimate,Energy/Oil,BP Ultimate,,Energy,bpultimate
Alpine/Renault,2020,Dupont,Chemicals,Dupont,,Industrial & Aerospace,dupont
Alpine/Renault,2020,Microsoft,Technology,Microsoft,,Technology,microsoft
Alpine/Renault,2020,Bell & Ross,Luxury Watches,Bell & Ross,,Luxury Watches,bellross
Alpine/Renault,2020,TMALL,E-commerce,TMALL,,Technology,tmall
Alpine/Renault,2020,Eurodatacar,Technology,Eurodatacar,,Technology,eurodatacar
Alpine/Renault,2020,Genii Capital,Investment,Genii Capital,,Financial Services,geniicapital
Alpine/Renault,2020,Le coq sportif,Apparel,Le coq sportif,,Apparel & Sportswear,lecoqsportif
Alpine/Renault,2020,3D systems,Technology,3D systems,,Technology,3dsystems
Alpine/Renault,2020,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Alpine/Renault,2020,Boeing,Aerospace,Boeing,,Industrial & Aerospace,boeing
Alpine/Renault,2020,Breton,Industrial,Breton,,Industrial & Aerospace,breton
Alpine/Renault,2020,Cannondale,Consumer Goods,Cannondale,,Consumer Goods & Retail,cannondale
Alpine/Renault,2020,Elysium,Technology,Elysium,,Technology,elysium
Alpine/Renault,2020,GF Machining solutions,Industrial,GF Machining solutions,,Industrial & Aerospace,gfmachiningsolutions
Alpine/Renault,2020,Hechter,Apparel,Hechter,,Apparel & Sportswear,hechter
Alpine/Renault,2020,Hexis,Industrial,Hexis,,Industrial & Aerospace,hexis
Alpine/Renault,2020,HP,Technology,HP,,Technology,hp
Alpine/Renault,2020,ixell,Automotive,ixell,,Automotive,ixell
Alpine/Renault,2020,Jabil,Technology,Jabil,,Technology,jabil
Alpine/Renault,2020,Matrix,Technology,Matrix,,Technology,matrix
Alpine/Renault,2020,OZ Racing,Automotive,OZ Racing,,Automotive,ozracing
Alpine/Renault,2020,PerkinElmer,Life Sciences,PerkinElmer,,Other,perkinelmer
Alpine/Renault,2020,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
Alpine/Renault,2020,Verizon Media,Media,Verizon Media,,Media & Entertainment,verizonmedia
Alpine/Renault,2020,Volume Graphics,Technology,Volume Graphics,,Technology,volumegraphics
Alpine/Renault,2020,Yxlon,Industrial,Yxlon,,Industrial & Aerospace,yxlon
Alpine/Renault,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Aston Martin/Racing Point/Force India,2020,Bombardier,Aerospace,Bombardier,,Industrial & Aerospace,bombardier
Aston Martin/Racing Point/Force India,2020,Breast Cancer Care,Nonprofit,Breast Cancer Care,,Other,breastcancercare
Aston Martin/Racing Point/Force India,2020,BWT,Water Technology,BWT,,Industrial & Aerospace,bwt
Aston Martin/Racing Point/Force India,2020,Canadalife,Finance,Canadalife,,Financial Services,canadalife
Aston Martin/Racing Point/Force India,2020,Claro,Telecom,Claro,,Telecom,claro
Aston Martin/Racing Point/Force India,2020,Infinitum,Telecom,Infinitum,,Telecom,infinitum
Aston Martin/Racing Point/Force India,2020,JCB,Industrial,JCB,,Industrial & Aerospace,jcb
Aston Martin/Racing Point/Force India,2020,Magnesium,Beverages/Food,Magnesium,,Food & Beverage,magnesium
Aston Martin/Racing Point/Force India,2020,NEC,Technology,NEC,,Technology,nec
Aston Martin/Racing Point/Force India,2020,SpScore.com,Technology,SpScore.com,,Technology,spscorecom
Aston Martin/Racing Point/Force India,2020,Sport Pesa,Gambling/Betting,Sport Pesa,,Other,sportspesa
Aston Martin/Racing Point/Force India,2020,Telcel,Telecom,Telcel,,Telecom,telcel
Aston Martin/Racing Point/Force India,2020,Telmex,Telecom,Telmex,,Telecom,telmex
Aston Martin/Racing Point/Force India,2020,Acronis,Cybersecurity,Acronis,,Cybersecurity,acronis
Aston Martin/Racing Point/Force India,2020,Adaptavist,Technology,Adaptavist,,Technology,adaptavist
Aston Martin/Racing Point/Force India,2020,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Aston Martin/Racing Point/Force India,2020,IFS,Technology,IFS,,Technology,ifs
Aston Martin/Racing Point/Force India,2020,OrangeBus,Technology,OrangeBus,,Technology,orangebus
Aston Martin/Racing Point/Force India,2020,Ravenol,Energy/Oil,Ravenol,,Energy,ravenol
Aston Martin/Racing Point/Force India,2020,Univa,Technology,Univa,,Technology,univa
Aston Martin/Racing Point/Force India,2020,3D Systems,Technology,3D Systems,,Technology,3dsystems
Aston Martin/Racing Point/Force India,2020,Condeco,Technology,Condeco,,Technology,condeco
Aston Martin/Racing Point/Force India,2020,EBB3,Technology,EBB3,,Technology,ebb3
Aston Martin/Racing Point/Force India,2020,GTECHNIQ,Automotive,GTECHNIQ,,Automotive,gtechniq
Aston Martin/Racing Point/Force India,2020,Hackett,Apparel,Hackett,,Luxury & Fashion,hackettlondon
Aston Martin/Racing Point/Force India,2020,Macauley,Consumer Goods,Macauley,,Consumer Goods & Retail,macauley
Aston Martin/Racing Point/Force India,2020,RNT Rausch,Industrial,RNT Rausch,,Industrial & Aerospace,rntrausch
Aston Martin/Racing Point/Force India,2020,SAS,Industrial,SAS,,Technology,sas
Aston Martin/Racing Point/Force India,2020,Schuberth,Automotive,Schuberth,,Automotive,schuberth
Aston Martin/Racing Point/Force India,2020,STL,Technology,STL,,Technology,stl
Aston Martin/Racing Point/Force India,2020,UPS Direct,Logistics,UPS Direct,,"Travel, Hospitality & Logistics",upsdirect
Aston Martin/Racing Point/Force India,2020,Voip Unlimited,Telecom,Voip Unlimited,,Telecom,voipunlimited
Aston Martin/Racing Point/Force India,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Ferrari,2020,Philip Morris International,Tobacco,Philip Morris International,,Other,philipmorrisinternational
Ferrari,2020,Shell,Energy/Oil,Shell,,Energy,shell
Ferrari,2020,Ray Ban,Fashion,Ray Ban,,Luxury & Fashion,rayban
Ferrari,2020,Kapersky,Cybersecurity,Kapersky,,Cybersecurity,kaspersky
Ferrari,2020,UPS,Logistics,UPS,,"Travel, Hospitality & Logistics",ups
Ferrari,2020,Hublot,Luxury Watches,Hublot,,Luxury Watches,hublot
Ferrari,2020,Mahle,Automotive,Mahle,,Automotive,mahle
Ferrari,2020,OMR,Media,OMR,,Media & Entertainment,omr
Ferrari,2020,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Ferrari,2020,Eightcap,Finance,Eightcap,,Financial Services,eightcap
Ferrari,2020,Infor,Technology,Infor,,Technology,infor
Ferrari,2020,SKF,Industrial,SKF,,Industrial & Aerospace,skf
Ferrari,2020,Marelli,Automotive,Marelli,,Automotive,marelli
Ferrari,2020,NGK,Automotive,NGK,,Automotive,ngk
Ferrari,2020,VistaJet,Aviation,VistaJet,,"Travel, Hospitality & Logistics",vistajet
Ferrari,2020,Brembo,Automotive,Brembo,,Automotive,brembo
Ferrari,2020,Experis,Staffing,Experis,,Business Services,experis
Ferrari,2020,Riedel,Technology,Riedel,,Technology,riedel
Ferrari,2020,Iveco,Automotive,Iveco,,Automotive,iveco
Ferrari,2020,OZ racing,Automotive,OZ racing,,Automotive,ozracing
Ferrari,2020,Sabelt,Automotive,Sabelt,,Automotive,sabelt
Ferrari,2020,Bell,Automotive,Bell,,Automotive,bell
Ferrari,2020,Palantir,Technology,Palantir,,Technology,palantir
Ferrari,2020,Alfa Romeo,Automotive,Alfa Romeo,,Automotive,alfaromeo
Ferrari,2020,Garrett,Automotive,Garrett,,Automotive,garrett
Ferrari,2020,Technogym,Fitness,Technogym,,Apparel & Sportswear,technogym
Ferrari,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Haas,2020,Haas Automation,Industrial,Haas Automation,,Industrial & Aerospace,haasautomation
Haas,2020,Jack & Jones,Apparel,Jack & Jones,,Apparel & Sportswear,jackjones
Haas,2020,Peak,Apparel,Peak,,Apparel & Sportswear,peak
Haas,2020,BlueDEF,Automotive,Blue | DEF,S003 | S004,Automotive,bluedef
Haas,2020,Stichd,Apparel,Stichd,,Apparel & Sportswear,stichd
Haas,2020,Alpinestars,Apparel,Alpinestars,,Apparel & Sportswear,alpinestars
Haas,2020,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
Haas,2020,Nominet Cyber,Cybersecurity,Nominet Cyber,,Cybersecurity,nominetcyber
Haas,2020,MindMaze,Technology,MindMaze,,Technology,mindmaze
Haas,2020,Windshear,Aerospace,Windshear,,Industrial & Aerospace,windshear
Haas,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
McLaren,2020,British-American Tobacco,Tobacco,British-American Tobacco,,Other,britishamericantobaccoabettertomorrow
McLaren,2020,Splunk,Technology,Splunk,,Technology,splunk
McLaren,2020,DarkTrace,Cybersecurity,DarkTrace,,Cybersecurity,darktrace
McLaren,2020,Dell,Technology,Dell,,Technology,delltechnologies
McLaren,2020,Huski Chocolate,Beverages/Food,Huski Chocolate,,Food & Beverage,huskichocolate
McLaren,2020,Gulf,Energy/Oil,Gulf,,Energy,gulf
McLaren,2020,Arrow,Technology,Arrow,,Technology,arrowelectronics
McLaren,2020,Estrella Galicia,Beverages/Food,Estrella Galicia,,Food & Beverage,estrellagalicia
McLaren,2020,Automation Anywhere,Technology,Automation Anywhere,,Technology,automationanywhere
McLaren,2020,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
McLaren,2020,Hilton,Hospitality,Hilton,,"Travel, Hospitality & Logistics",hilton
McLaren,2020,Coca Cola,Beverages/Food,Coca Cola,,Food & Beverage,cocacola
McLaren,2020,Unilever,Consumer Goods,Unilever,,Consumer Goods & Retail,unilever
McLaren,2020,FxPro,Finance,FxPro,,Financial Services,fxpro
McLaren,2020,Deloitte,Professional Services,Deloitte,,Business Services,deloitte
McLaren,2020,TUMI,Fashion,TUMI,,Luxury & Fashion,tumi
McLaren,2020,Iqoniq,Apparel,Iqoniq,,Apparel & Sportswear,iqoniq
McLaren,2020,Mind,Technology,Mind,,Technology,mind
McLaren,2020,CNBC,Media,CNBC,,Media & Entertainment,cnbc
McLaren,2020,Oneplus,Technology,Oneplus,,Technology,oneplus
McLaren,2020,Mindmaze,Technology,Mindmaze,,Technology,mindmaze
McLaren,2020,Klipsch,Consumer Electronics,Klipsch,,Technology,klipsch
McLaren,2020,Akebono,Automotive,Akebono,,Automotive,akebono
McLaren,2020,Sparco,Automotive,Sparco,,Automotive,sparco
McLaren,2020,Volvo trucks,Automotive,Volvo trucks,,Automotive,volvotrucks
McLaren,2020,Sikkens,Industrial,Sikkens,,Industrial & Aerospace,sikkens
McLaren,2020,Enkei,Automotive,Enkei,,Automotive,enkei
McLaren,2020,Mazak,Industrial,Mazak,,Industrial & Aerospace,mazak
McLaren,2020,Marelli,Automotive,Marelli,,Automotive,marelli
McLaren,2020,Technogym,Fitness,Technogym,,Apparel & Sportswear,technogym
McLaren,2020,Ashurst,Legal,Ashurst,,Business Services,ashurst
McLaren,2020,Stratasys,Technology,Stratasys,,Technology,stratasys
McLaren,2020,Kaust,Education,Kaust,,Business Services,kaust
McLaren,2020,Hookit,Technology,Hookit,,Technology,hookit
McLaren,2020,wipro,Technology,wipro,,Technology,wipro
McLaren,2020,Alienware,Technology,Alienware,,Technology,alienware
McLaren,2020,Veloce Esports,Esports,Veloce Esports,,Media & Entertainment,veloceesports
McLaren,2020,Ultimotive,Automotive,Ultimotive,,Automotive,ultimotive
McLaren,2020,NEW ERA,Apparel,NEW ERA,,Apparel & Sportswear,newera
McLaren,2020,FAI Aviation Group,Aviation,FAI Aviation Group,,"Travel, Hospitality & Logistics",faiaviationgroup
McLaren,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Mercedes,2020,Petronas,Energy/Oil,Petronas,,Energy,petronas
Mercedes,2020,INEOS,Chemicals,INEOS,,Industrial & Aerospace,ineos
Mercedes,2020,UBS,Finance,UBS,,Financial Services,ubs
Mercedes,2020,Epson,Technology,Epson,,Technology,epson
Mercedes,2020,Bose,Consumer Electronics,Bose,,Technology,bose
Mercedes,2020,Tommy Hilfiger,Fashion,Tommy Hilfiger,,Luxury & Fashion,tommyhilfiger
Mercedes,2020,IWC,Luxury Watches,IWC,,Luxury Watches,iwc
Mercedes,2020,Hewlett Packard,Technology,Hewlett Packard,,Technology,hewlettpackard
Mercedes,2020,The Ritz-Carlton,Hospitality,The Ritz-Carlton,,"Travel, Hospitality & Logistics",theritzcarlton
Mercedes,2020,Monster Energy,Beverages/Food,Monster Energy,,Food & Beverage,monsterenergy
Mercedes,2020,Pure Storage,Technology,Pure Storage,,Technology,purestorage
Mercedes,2020,CrowdStrike,Cybersecurity,CrowdStrike,,Cybersecurity,crowdstrike
Mercedes,2020,TIBCO,Technology,TIBCO,,Technology,tibco
Mercedes,2020,AMD,Technology,AMD,,Technology,amd
Mercedes,2020,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Mercedes,2020,Police,Fashion,Police,,Luxury & Fashion,policeeyewear
Mercedes,2020,OMP,Automotive,OMP,,Automotive,omp
Mercedes,2020,OZ Racing,Automotive,OZ Racing,,Automotive,ozracing
Mercedes,2020,Endless,Automotive,Endless,,Automotive,endless
Mercedes,2020,Stilo,Automotive,Stilo,,Automotive,stilo
Mercedes,2020,Seedlip,Beverages/Food,Seedlip,,Food & Beverage,seedlip
Mercedes,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
RB/AlphaTauri/Toro Rosso,2020,myWorld,Finance,myWorld,,Financial Services,myworld
RB/AlphaTauri/Toro Rosso,2020,MOOSE,Consumer Goods,MOOSE,,Consumer Goods & Retail,moose
RB/AlphaTauri/Toro Rosso,2020,AlphaTauri,Apparel,AlphaTauri,,Apparel & Sportswear,alphatauri
RB/AlphaTauri/Toro Rosso,2020,Red Bull,Beverages/Food,Red Bull,,Food & Beverage,redbull
RB/AlphaTauri/Toro Rosso,2020,Honda,Automotive,Honda,,Automotive,honda
RB/AlphaTauri/Toro Rosso,2020,Edifice Casio,Consumer Electronics,Edifice Casio,,Technology,edificecasio
RB/AlphaTauri/Toro Rosso,2020,Randstad,Staffing,Randstad,,Business Services,randstad
RB/AlphaTauri/Toro Rosso,2020,RDS,Technology,RDS,,Technology,rds
RB/AlphaTauri/Toro Rosso,2020,Riedel,Technology,Riedel,,Technology,riedel
RB/AlphaTauri/Toro Rosso,2020,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
RB/AlphaTauri/Toro Rosso,2020,Red Bull Mobile,Telecom,Red Bull Mobile,,Telecom,redbullmobile
RB/AlphaTauri/Toro Rosso,2020,Hangar 7,Hospitality,Hangar 7,,"Travel, Hospitality & Logistics",hangar7
RB/AlphaTauri/Toro Rosso,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Red Bull Racing,2020,Rauch,Beverages/Food,Rauch,,Food & Beverage,rauch
Red Bull Racing,2020,Honda,Automotive,Honda,,Automotive,honda
Red Bull Racing,2020,Mobil 1 Esso,Energy/Oil,Mobil 1 Esso,,Energy,mobil1esso
Red Bull Racing,2020,Aston Martin,Automotive,Aston Martin,,Automotive,astonmartin
Red Bull Racing,2020,Puma,Apparel,Puma,,Apparel & Sportswear,puma
Red Bull Racing,2020,Tag Heuer,Luxury Watches,Tag Heuer,,Luxury Watches,tagheuer
Red Bull Racing,2020,Citrix,Technology,Citrix,,Technology,citrix
Red Bull Racing,2020,Piquadro,Fashion,Piquadro,,Luxury & Fashion,piquadro
Red Bull Racing,2020,Siemens,Industrial,Siemens,,Industrial & Aerospace,siemens
Red Bull Racing,2020,AT&T,Telecom,AT&T,,Telecom,att
Red Bull Racing,2020,Hewlett Packard,Technology,Hewlett Packard,,Technology,hewlettpackard
Red Bull Racing,2020,Iris,Technology,Iris,,Technology,iris
Red Bull Racing,2020,AlphaTauri,Apparel,AlphaTauri,,Apparel & Sportswear,alphatauri
Red Bull Racing,2020,IBM,Technology,IBM,,Technology,ibm
Red Bull Racing,2020,Dita,Fashion,Dita,,Luxury & Fashion,ditaeyewear
Red Bull Racing,2020,W66.com,Gambling/Betting,W66.com,,Other,w66com
Red Bull Racing,2020,PayVoo,Payments,PayVoo,,Financial Services,payvoo
Red Bull Racing,2020,myWorld,Finance,myWorld,,Financial Services,myworld
Red Bull Racing,2020,Hexagon,Technology,Hexagon,,Technology,hexagon
Red Bull Racing,2020,DMG Mori,Industrial,DMG Mori,,Industrial & Aerospace,dmgmori
Red Bull Racing,2020,PWR,Automotive,PWR,,Automotive,pwr
Red Bull Racing,2020,Snowflake,Technology,Snowflake,,Technology,snowflake
Red Bull Racing,2020,Ansys,Technology,Ansys,,Technology,ansys
Red Bull Racing,2020,Sabelt,Automotive,Sabelt,,Automotive,sabelt
Red Bull Racing,2020,OZ,Automotive,OZ,,Automotive,oz
Red Bull Racing,2020,Mitie,Services,Mitie,,Business Services,mitie
Red Bull Racing,2020,kx technology,Technology,kx technology,,Technology,kxtechnology
Red Bull Racing,2020,GoldStandard,Finance,GoldStandard,,Financial Services,goldstandard
Red Bull Racing,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Sauber/Alfa Romeo,2020,Alfa Romeo,Automotive,Alfa Romeo,,Automotive,alfaromeo
Sauber/Alfa Romeo,2020,PKN ORLEN,Energy/Oil,PKN ORLEN,,Energy,pknorlen
Sauber/Alfa Romeo,2020,Adler Pelzer Group,Industrial,Adler Pelzer Group,,Industrial & Aerospace,adlerpelzergroup
Sauber/Alfa Romeo,2020,Carrera,Consumer Goods,Carrera,,Consumer Goods & Retail,carrera
Sauber/Alfa Romeo,2020,Claro,Telecom,Claro,,Telecom,claro
Sauber/Alfa Romeo,2020,Richard Mille,Luxury Watches,Richard Mille,,Luxury Watches,richardmille
Sauber/Alfa Romeo,2020,Acer,Technology,Acer,,Technology,acer
Sauber/Alfa Romeo,2020,Built for Athletes,Apparel,Built for Athletes,,Apparel & Sportswear,builtforathletes
Sauber/Alfa Romeo,2020,Singha,Beverages/Food,Singha,,Food & Beverage,singha
Sauber/Alfa Romeo,2020,Additive industries,Industrial,Additive industries,,Industrial & Aerospace,additiveindustries
Sauber/Alfa Romeo,2020,EGV1,Technology,EGV1,,Other,egv1
Sauber/Alfa Romeo,2020,GlobeAir,Aviation,GlobeAir,,"Travel, Hospitality & Logistics",globeair
Sauber/Alfa Romeo,2020,Hewlett Packard,Technology,Hewlett Packard,,Technology,hewlettpackard
Sauber/Alfa Romeo,2020,Iveco,Automotive,Iveco,,Automotive,iveco
Sauber/Alfa Romeo,2020,Marelli,Automotive,Marelli,,Automotive,marelli
Sauber/Alfa Romeo,2020,Mitsubishi Electric,Industrial,Mitsubishi Electric,,Industrial & Aerospace,mitsubishielectric
Sauber/Alfa Romeo,2020,Save the Children,Nonprofit,Save the Children,,Other,savethechildren
Sauber/Alfa Romeo,2020,Sparco,Automotive,Sparco,,Automotive,sparco
Sauber/Alfa Romeo,2020,Walter Meier,Industrial,Walter Meier,,Industrial & Aerospace,waltermeier
Sauber/Alfa Romeo,2020,3D Systems,Technology,3D Systems,,Technology,3dsystems
Sauber/Alfa Romeo,2020,AB Dynamic,Technology,AB Dynamic,,Technology,abdynamics
Sauber/Alfa Romeo,2020,Brutsch-Ruegger,Industrial,Brutsch-Ruegger,,Industrial & Aerospace,brutschruegger
Sauber/Alfa Romeo,2020,Carbon Connect,Industrial,Carbon Connect,,Industrial & Aerospace,carbonconnect
Sauber/Alfa Romeo,2020,Interoll,Industrial,Interoll,,Industrial & Aerospace,interroll
Sauber/Alfa Romeo,2020,Quintus,Industrial,Quintus,,Industrial & Aerospace,quintus
Sauber/Alfa Romeo,2020,Riedel,Technology,Riedel,,Technology,riedel
Sauber/Alfa Romeo,2020,Singapore Airlines,Aviation,Singapore Airlines,,"Travel, Hospitality & Logistics",singaporeairlines
Sauber/Alfa Romeo,2020,Pirelli,Automotive,Pirelli,,Automotive,pirelli
Williams,2020,Acronis,Cybersecurity,Acronis,,Cybersecurity,acronis
Williams,2020,Sofina,Investment,Sofina,,Financial Services,sofina
Williams,2020,Lavazza,Beverages/Food,Lavazza,,Food & Beverage,lavazza
Williams,2020,RBC,Finance,RBC,,Financial Services,rbc
Williams,2020,NetJets,Aviation,NetJets,,"Travel, Hospitality & Logistics",netjets
Williams,2020,Versa,Technology,Versa,,Technology,versa
Williams,2020,Symantec,Cybersecurity,Symantec,,Cybersecurity,symantec
Williams,2020,Iqoniq,Apparel,Iqoniq,,Apparel & Sportswear,iqoniq
Williams,2020,Umbro,Apparel,Umbro,,Apparel & Sportswear,umbro
Williams,2020,Financial Times,Media,Financial Times,,Media & Entertainment,financialtimes
